SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
93705.0,1,1,0,1,0,3,1,0,0
93708.0,1,0,1,1,2,3,1,0,0
93709.0,0,2,2,3,1,6,6,4,3
93711.0,1,0,1,4,2,2,0,7,2
93713.0,1,0,1,4,2,2,0,7,2
93714.0,0,2,3,3,3,4,5,6,6
93715.0,1,0,1,4,1,6,3,3,9
93716.0,0,1,0,0,4,1,2,1,1
93717.0,1,1,0,1,0,0,0,7,1
93718.0,1,0,1,1,0,3,0,7,2
93721.0,0,2,0,3,1,6,3,5,1
93722.0,1,0,1,4,2,2,4,7,2
93723.0,1,0,1,4,2,2,4,3,0
93726.0,0,2,3,3,3,4,4,3,7
93728.0,0,2,3,3,3,4,5,6,6
93729.0,1,0,3,4,2,2,4,3,7
93730.0,1,1,0,1,0,3,0,7,1
93731.0,1,1,0,1,0,0,3,5,1
93735.0,0,2,2,2,5,5,7,8,8
93738.0,0,1,0,1,0,0,0,5,1
93742.0,0,2,3,3,3,4,5,6,6
93743.0,1,1,0,1,0,0,1,5,1
93746.0,1,0,1,4,2,2,0,7,2
93752.0,1,0,1,1,2,3,0,7,2
93754.0,0,2,3,3,1,6,5,5,1
93755.0,1,0,1,4,2,2,0,7,2
93756.0,1,0,1,1,1,3,1,0,0
93757.0,0,1,0,0,4,1,2,2,1
93758.0,0,1,0,0,4,3,1,0,0
93759.0,0,2,3,3,1,6,4,3,7
93760.0,0,1,0,3,1,6,1,6,1
93761.0,0,1,0,0,0,3,1,0,1
93762.0,1,0,1,1,2,3,1,0,0
93763.0,0,1,0,0,4,1,2,1,4
93766.0,0,2,3,4,2,3,1,0,0
93767.0,0,2,3,3,3,4,4,3,7
93768.0,1,0,2,2,1,6,6,4,3
93770.0,1,1,0,1,0,0,3,5,1
93772.0,0,2,2,2,1,6,6,4,3
93773.0,1,0,1,4,2,2,3,3,7
93774.0,1,0,1,4,2,3,0,7,2
93775.0,1,0,1,4,2,2,4,3,7
93776.0,1,0,1,4,2,3,0,7,2
93780.0,0,1,0,0,4,1,2,1,1
93782.0,1,0,1,4,2,2,0,7,2
93783.0,1,0,1,4,2,2,4,3,7
93785.0,1,2,2,3,1,6,6,4,3
93788.0,0,1,0,0,4,1,2,1,4
93789.0,1,0,1,1,2,2,0,7,2
93791.0,0,1,0,0,4,1,2,1,4
93794.0,1,0,1,1,0,3,1,0,0
93795.0,1,0,1,1,0,0,0,7,2
93796.0,0,1,0,0,0,0,0,1,1
93797.0,1,1,0,1,0,0,0,5,1
93798.0,1,1,0,1,0,3,1,0,1
93800.0,1,0,1,4,2,2,4,3,7
93801.0,0,2,2,3,1,6,6,4,3
93805.0,0,2,3,3,3,4,5,6,6
93806.0,0,1,0,0,4,1,2,1,1
93811.0,1,0,1,1,0,0,3,5,7
93812.0,0,2,2,3,1,6,6,4,3
93813.0,0,2,3,3,3,4,5,6,6
93814.0,1,0,1,4,2,2,4,3,7
93815.0,1,1,0,0,0,0,0,1,1
93817.0,1,1,0,1,0,0,3,5,1
93819.0,1,0,1,1,0,3,0,0,0
93823.0,0,1,0,0,4,1,2,5,1
93824.0,1,0,1,1,0,3,0,7,2
93825.0,0,2,2,3,1,6,6,4,7
