SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
93711.0,1,0,3,1,3,6,7,6,0
93717.0,1,0,3,1,3,6,4,7,5
93731.0,0,0,3,2,2,6,4,7,5
93738.0,0,0,3,1,3,6,4,7,9
93755.0,0,2,2,3,0,1,6,0,6
93758.0,0,1,2,0,0,1,6,0,6
93760.0,0,1,2,3,0,1,6,0,6
93763.0,0,0,3,2,2,5,4,7,9
93766.0,0,2,2,3,0,1,6,0,3
93770.0,1,0,3,1,3,6,4,5,5
93775.0,1,2,1,4,1,0,1,8,4
93776.0,1,2,1,4,1,4,5,1,7
93780.0,0,1,0,2,2,1,6,0,6
93789.0,1,0,3,1,3,6,7,6,0
93801.0,0,0,0,2,2,5,0,7,9
93806.0,0,1,0,2,2,1,4,0,6
93811.0,1,0,3,1,0,6,4,8,4
93814.0,1,2,1,4,1,0,1,8,4
93815.0,0,2,2,3,0,1,6,0,6
93823.0,0,1,0,2,2,1,6,0,6
93834.0,0,1,0,0,5,2,2,4,1
93837.0,0,1,2,3,4,3,3,3,2
93840.0,1,0,3,1,3,6,7,6,0
93843.0,1,2,1,4,1,4,5,1,7
93847.0,0,2,2,3,4,3,3,3,2
93866.0,1,0,3,1,3,6,4,5,5
93870.0,1,2,1,4,1,4,5,1,7
93875.0,0,0,3,1,3,6,7,6,0
93888.0,1,2,1,4,1,4,5,1,7
93890.0,1,0,3,1,3,6,7,6,0
93891.0,0,1,0,3,4,3,3,3,2
93916.0,1,0,3,1,3,6,4,7,5
93926.0,0,1,2,3,4,3,3,3,2
93932.0,0,1,2,3,0,1,6,0,6
93950.0,0,1,2,3,0,1,6,0,6
93957.0,0,1,2,3,0,1,6,0,6
93964.0,0,0,3,2,2,5,4,7,9
93968.0,1,0,3,1,3,6,4,7,3
93972.0,0,0,3,1,3,6,7,6,0
93982.0,1,2,1,4,1,0,1,1,7
93984.0,1,0,3,1,3,0,7,6,0
93998.0,1,2,1,4,1,4,5,1,7
94012.0,1,2,1,4,0,1,6,0,6
94013.0,1,0,3,1,3,6,7,6,0
94015.0,1,2,2,4,0,0,1,8,4
94021.0,1,2,2,3,4,0,1,8,4
94038.0,0,1,2,3,0,1,6,0,6
94040.0,0,1,0,2,2,5,0,2,8
94042.0,1,0,3,1,3,6,7,6,0
94044.0,1,2,1,4,1,4,5,1,7
94047.0,0,1,2,3,4,3,3,3,2
94050.0,0,1,0,2,2,5,0,0,9
94067.0,0,1,0,2,2,5,0,2,8
94098.0,1,2,2,3,0,1,6,8,4
94105.0,0,2,2,3,0,0,1,8,4
94112.0,1,0,3,1,3,6,7,6,0
94119.0,0,0,0,2,2,5,0,7,9
94127.0,1,2,2,4,0,0,1,8,4
94130.0,1,2,1,4,1,0,1,1,7
94139.0,0,2,2,3,0,0,1,8,4
94166.0,0,0,3,1,3,6,4,7,9
94177.0,1,2,1,4,0,0,1,1,7
94181.0,0,1,2,3,0,1,6,8,6
94187.0,1,2,1,4,0,1,6,0,3
94190.0,1,0,3,1,3,6,4,7,5
94193.0,0,1,2,3,4,3,3,3,8
94208.0,0,1,2,3,4,3,3,3,2
94223.0,0,1,2,3,0,1,6,0,6
94247.0,0,1,0,2,4,3,3,2,8
94250.0,0,1,2,3,4,3,3,3,2
94251.0,1,2,1,4,1,0,1,8,7
94259.0,1,2,1,4,1,4,5,5,3
94270.0,1,0,3,1,3,6,4,7,9
94274.0,0,1,2,3,0,1,6,0,6
94285.0,0,1,0,0,5,2,2,4,1
94290.0,1,2,1,4,0,1,6,0,6
94314.0,1,0,3,1,2,5,0,6,9
94319.0,0,0,3,1,3,6,4,7,9
94324.0,0,1,2,3,0,1,6,8,3
94330.0,0,1,0,0,5,2,2,0,1
94337.0,0,1,0,2,2,5,0,2,8
94341.0,0,0,0,2,2,5,4,7,9
94375.0,1,2,1,4,1,4,5,5,3
94388.0,1,2,1,4,1,0,1,8,4
94392.0,1,0,3,1,3,6,7,6,0
94393.0,0,0,3,2,0,6,7,6,6
94443.0,1,0,3,1,3,6,7,6,0
94446.0,0,2,2,3,0,1,6,8,4
94453.0,1,2,2,3,0,0,1,8,4
94463.0,0,1,2,3,4,3,3,3,2
94469.0,0,2,2,3,4,3,3,8,4
94474.0,0,1,0,0,5,2,2,4,1
94478.0,1,2,1,4,1,4,5,1,7
94488.0,1,2,2,4,0,0,1,8,4
94497.0,1,2,2,3,0,1,6,8,6
94509.0,0,2,2,3,0,1,6,0,6
94512.0,1,2,1,0,0,1,6,0,6
94530.0,1,0,3,1,3,6,7,6,0
94531.0,1,2,2,3,0,0,6,8,4
94560.0,0,1,0,3,4,3,3,3,8
94565.0,0,1,0,3,2,1,6,0,8
94569.0,1,2,1,4,1,4,5,5,7
94577.0,1,2,1,4,1,4,5,5,7
94579.0,0,1,0,2,2,5,0,6,0
94589.0,0,0,0,2,2,5,4,7,9
94596.0,1,0,3,1,3,6,4,7,5
94608.0,1,0,3,1,3,6,4,5,5
94615.0,0,1,2,3,4,3,3,3,2
94618.0,0,1,0,2,2,5,0,2,8
94624.0,0,0,3,2,2,5,4,7,9
94625.0,1,0,3,1,3,6,7,6,0
94627.0,0,1,0,0,5,2,2,4,1
94644.0,1,0,1,1,3,4,5,5,5
94651.0,0,1,2,3,4,3,3,3,2
94664.0,1,0,3,1,3,6,4,7,3
94677.0,0,1,2,3,4,3,3,3,2
94686.0,0,2,2,3,0,1,6,8,6
94696.0,1,2,1,4,1,0,1,1,7
94713.0,1,2,1,4,1,4,5,5,7
94726.0,0,2,2,3,0,0,1,8,4
94736.0,1,0,3,1,3,6,4,7,9
94766.0,0,0,3,1,3,6,7,6,0
94773.0,0,0,0,2,2,5,4,7,9
94775.0,1,2,2,3,0,0,1,8,4
94785.0,1,0,3,1,3,6,7,6,0
94786.0,0,2,2,3,0,1,6,0,6
94812.0,0,1,0,2,2,5,0,2,6
94844.0,1,0,3,1,3,6,4,7,0
94855.0,1,0,3,1,3,6,5,5,3
94879.0,0,2,2,3,4,0,3,8,4
94882.0,1,0,3,1,3,4,5,5,5
94894.0,0,1,0,2,4,3,3,2,8
94896.0,0,2,2,3,4,3,3,8,4
94909.0,0,1,0,2,2,5,0,2,9
94941.0,1,0,3,1,3,6,7,6,0
94945.0,0,1,0,2,2,5,0,2,8
94957.0,0,0,0,2,2,5,4,7,9
94966.0,0,0,0,2,2,5,4,7,9
94970.0,0,1,0,2,2,5,0,2,3
94998.0,0,0,3,2,2,5,4,7,9
95026.0,1,0,3,1,3,6,7,6,5
95048.0,1,0,3,1,3,6,4,7,5
95056.0,0,1,2,3,4,3,3,3,2
95060.0,1,2,1,4,0,4,5,8,7
95064.0,1,0,3,1,3,6,7,6,0
95077.0,1,0,3,1,3,6,4,7,9
95088.0,0,1,2,3,0,1,6,0,6
95096.0,0,1,0,2,2,5,0,2,8
95168.0,0,1,2,3,0,0,6,8,4
95171.0,0,1,0,2,4,3,0,2,8
95190.0,1,2,1,4,1,4,5,5,7
95206.0,1,2,1,4,1,0,1,1,7
95210.0,1,2,2,3,0,1,6,8,4
95213.0,1,0,1,1,3,4,5,5,5
95216.0,1,0,3,1,3,6,4,7,9
95233.0,0,1,2,3,4,3,3,3,2
95239.0,0,1,2,3,0,1,6,8,6
95257.0,1,2,1,4,1,0,1,1,7
95262.0,1,2,2,3,0,0,1,8,4
95275.0,1,2,1,4,1,0,1,8,4
95278.0,0,1,2,3,4,3,3,3,2
95279.0,1,0,3,1,3,6,4,7,9
95284.0,0,1,2,3,0,3,3,0,6
95289.0,0,2,2,3,0,1,6,0,3
95296.0,0,0,3,2,2,5,4,7,9
95302.0,1,2,1,4,0,0,1,8,4
95312.0,0,1,2,2,0,1,6,0,6
95313.0,1,2,1,4,1,4,1,1,7
95333.0,0,0,3,2,2,5,4,7,9
95342.0,1,2,1,4,1,0,1,1,7
95353.0,0,2,2,3,4,3,3,8,4
95366.0,0,1,2,3,4,3,3,3,2
95391.0,1,2,1,4,0,1,6,8,4
95393.0,0,1,2,3,0,1,6,0,6
95394.0,0,0,3,1,3,6,7,6,0
95423.0,1,2,1,4,1,0,1,8,4
95436.0,1,2,1,4,1,0,1,1,7
95445.0,1,2,2,4,0,0,1,8,4
95449.0,0,1,0,2,2,5,0,2,8
95450.0,1,0,3,1,3,6,5,5,3
95455.0,0,1,0,2,2,5,0,2,8
95465.0,0,2,2,3,0,1,6,0,6
95469.0,1,0,1,1,3,4,5,5,5
95472.0,1,0,3,1,3,6,4,7,9
95479.0,1,2,1,4,1,0,1,1,7
95505.0,1,0,3,1,3,6,5,5,5
95506.0,1,0,3,1,3,6,7,6,0
95509.0,1,2,1,4,0,1,6,0,3
95510.0,1,2,1,4,0,1,6,0,3
95514.0,1,0,3,1,3,6,7,6,0
95519.0,0,1,0,2,2,5,0,0,3
95525.0,1,2,1,4,0,1,6,0,3
95531.0,0,1,2,2,2,5,0,0,3
95571.0,0,2,2,3,0,1,6,8,6
95591.0,1,2,1,4,1,0,1,1,7
95594.0,1,2,3,1,3,0,7,6,0
95602.0,0,1,0,2,2,5,0,0,9
95611.0,1,0,1,1,3,4,5,5,5
95622.0,1,2,1,4,1,4,5,5,7
