SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster,K8_cluster,K9_cluster,K10_cluster
93711.0,1,2,1,4,4,1,7,5,1
93717.0,1,2,1,4,4,1,7,5,1
93731.0,1,2,1,4,4,1,7,5,1
93738.0,0,2,1,4,4,1,7,5,1
93755.0,1,0,3,1,5,3,6,2,3
93758.0,0,1,2,1,5,3,6,2,3
93760.0,0,1,3,1,5,4,6,2,3
93763.0,0,2,1,3,1,2,4,0,8
93766.0,0,0,3,1,5,3,6,2,7
93770.0,1,2,1,4,4,1,7,5,1
93775.0,1,0,0,2,2,5,0,7,0
93776.0,1,0,0,2,2,5,3,3,4
93780.0,0,1,2,1,1,3,6,2,3
93789.0,1,2,1,4,4,1,7,5,1
93801.0,0,2,1,3,1,2,4,0,8
93806.0,0,1,2,3,1,6,1,4,2
93811.0,1,2,1,4,4,2,4,5,8
93814.0,1,0,0,2,2,5,0,7,0
93815.0,1,0,0,2,5,3,6,2,3
93823.0,0,1,2,3,1,6,6,4,2
93834.0,0,1,2,0,0,0,5,6,9
93837.0,0,1,3,1,3,4,2,1,6
93840.0,1,2,1,4,4,2,4,5,1
93843.0,1,0,0,2,2,5,3,3,4
93847.0,0,0,3,1,5,4,2,1,6
93866.0,1,2,1,4,4,1,7,3,1
93870.0,1,0,0,2,2,5,3,3,4
93875.0,1,2,1,4,4,2,4,0,8
93888.0,1,0,0,2,2,5,3,3,4
93890.0,1,2,1,4,4,1,7,5,1
93891.0,0,1,3,1,3,4,2,1,7
93916.0,1,2,1,4,4,1,7,5,1
93926.0,0,1,3,1,3,4,2,1,6
93932.0,0,1,3,1,5,3,6,2,3
93950.0,0,1,3,1,5,3,6,2,3
93957.0,0,0,3,1,5,4,6,2,3
93964.0,0,2,1,3,1,6,1,4,2
93968.0,1,2,1,4,4,1,7,3,7
93972.0,0,2,1,3,1,2,4,0,8
93982.0,1,0,0,2,2,5,0,7,0
93984.0,0,2,3,1,5,2,4,0,8
93998.0,1,0,0,2,2,5,3,3,4
94012.0,1,0,0,2,2,3,6,2,3
94013.0,1,2,1,4,4,2,4,5,8
94015.0,1,0,3,2,5,5,0,7,0
94021.0,1,0,3,1,5,4,0,1,0
94038.0,0,0,3,1,5,4,6,2,3
94040.0,0,1,1,3,1,2,4,0,8
94042.0,1,2,1,4,4,2,7,5,1
94044.0,1,0,0,2,2,5,3,7,0
94047.0,0,1,3,1,3,4,2,8,5
94050.0,0,1,2,3,1,2,4,0,8
94067.0,0,1,3,3,3,2,4,0,8
94098.0,1,0,0,2,5,3,6,2,3
94105.0,0,0,3,1,5,4,0,7,0
94112.0,1,2,1,4,4,1,7,5,1
94119.0,0,2,1,3,1,2,1,0,8
94127.0,1,0,0,2,5,5,0,7,0
94130.0,1,0,0,2,2,5,0,7,0
94139.0,0,0,3,1,5,4,4,1,6
94166.0,0,2,1,4,1,2,4,0,8
94177.0,1,0,0,2,2,5,0,7,0
94181.0,0,1,3,1,5,3,6,2,3
94187.0,1,0,0,2,5,3,6,2,3
94190.0,1,2,1,4,4,1,7,5,1
94193.0,0,1,3,1,3,4,2,1,6
94208.0,0,1,3,1,3,4,2,1,6
94223.0,0,0,3,1,5,3,6,2,3
94247.0,0,1,3,1,3,4,2,1,6
94250.0,0,1,3,1,3,4,2,1,6
94251.0,1,0,0,2,2,5,0,7,0
94259.0,1,0,0,2,2,3,3,3,4
94270.0,1,2,1,4,4,1,7,4,1
94274.0,0,1,3,1,5,3,6,2,3
94285.0,0,1,2,0,0,0,5,6,9
94290.0,1,0,0,2,5,3,6,2,3
