SEQN,K2_cluster,K3_cluster,K4_cluster,K5_cluster,K6_cluster,K7_cluster
93711.0,0,0,3,4,1,3
93717.0,0,0,3,4,1,3
93731.0,0,0,3,4,1,3
93738.0,0,0,3,4,1,3
93755.0,1,2,2,0,4,2
93758.0,1,2,1,0,4,2
93760.0,1,2,2,2,4,2
93763.0,0,0,1,3,3,0
93766.0,1,2,2,0,4,2
93770.0,0,0,3,4,1,3
93775.0,1,1,0,1,5,5
93776.0,1,1,0,1,5,4
93780.0,1,2,1,3,4,2
93789.0,0,1,0,1,5,4
93801.0,0,0,3,4,1,3
93806.0,0,2,1,3,3,2
93811.0,0,0,3,4,1,3
93814.0,1,1,0,1,5,5
93815.0,1,2,2,0,4,2
93823.0,0,0,1,3,3,2
93834.0,0,2,1,2,0,6
93837.0,1,2,2,2,2,1
93840.0,0,0,3,4,1,3
93843.0,1,1,0,1,5,4
93847.0,1,2,2,2,2,1
93866.0,0,0,3,4,1,3
93870.0,1,1,0,1,5,4
93875.0,0,0,3,4,1,3
93888.0,1,1,0,1,5,4
93890.0,0,0,3,4,1,3
93891.0,1,2,1,2,2,1
93916.0,0,0,3,4,1,3
93926.0,1,2,2,2,2,1
93932.0,1,2,2,0,4,2
93950.0,1,2,2,3,3,2
93957.0,1,2,2,0,4,2
93964.0,0,0,3,3,3,0
93968.0,0,0,3,4,1,3
93972.0,0,0,3,4,1,0
93982.0,1,1,0,1,5,4
93984.0,0,0,3,4,1,3
93998.0,1,1,0,1,5,4
94012.0,1,1,0,0,4,2
94013.0,0,0,3,4,1,3
94015.0,1,1,2,0,4,5
94021.0,1,2,2,2,2,5
94038.0,1,2,2,0,4,2
94040.0,0,0,1,4,3,0
94042.0,0,0,3,4,1,3
94044.0,1,1,0,1,5,4
94047.0,1,2,2,2,2,1
94050.0,0,0,1,3,3,0
94067.0,0,2,2,2,2,1
94098.0,1,1,2,0,4,2
94105.0,1,2,2,2,2,5
94112.0,0,0,3,4,1,3
94119.0,0,0,3,3,3,0
